Data,Fund,Equity,Volatility,Gold,Oil,Aggr,CvArb,CTA,Distress,EqLS,EqMN,ED,FiArb,Macro,MergerArb,Multi,Regime
12/31/11,-0.0105,0.002565044,-0.158273381,-0.102950444,-0.015245118,0.005198,-0.020366,-0.006411,-0.004389,0.002978,-0.010273,-0.004478,0.000881,-0.004275,0.000665,-0.003687,Normal 
1/31/12,-0.0305,0.042325132,-0.169230769,0.109848001,-0.003541435,0.02731,0.050373,0.028576,0.017079,0.005537,-0.002214,0.031013,0.022949,0.045675,0.03507,0.022424,Bull Market 
2/29/12,0.1343,0.033371393,-0.051954733,-0.016054782,0.087225833,0.020483,0.038316,0.019923,0.010407,0.002422,0.007728,0.02309,0.020453,0.032348,0.034901,0.041838,Bull Market 
3/31/12,0.1368,0.011472718,-0.158979924,-0.023744079,-0.037825721,0.009284,-0.015906,0.005087,0.000027,-0.005241,0.018038,0.000283,0.004584,0.009526,0.000631,0.004571,Normal 
4/30/12,0.0394,-0.013683931,0.106451613,-0.003534416,0.017957678,-0.007193,-0.005956,-0.002827,-0.003162,0.002079,0.012127,-0.005835,0.000659,-0.011679,-0.005386,-0.013886,Normal 
5/31/12,0.0548,-0.08276113,0.402915452,-0.060598774,-0.174883189,-0.020741,-0.059308,-0.027345,-0.010129,0.008756,-0.023552,-0.030377,-0.005435,-0.04798,-0.033468,-0.04996,Stress
6/30/12,-0.0207,0.052732484,-0.290108063,0.026174325,-0.018143996,-0.003988,0.007721,-0.000429,0.002849,-0.003062,0.035452,0.005885,0.006694,0.010945,0.000522,0.008994,Normal 
7/31/12,-0.0299,0.009866756,0.108313817,0.004365451,0.036487759,0.011599,0.007131,0.005542,0.007797,0.006084,0.028281,0.007422,0.009906,0.000048,0.004528,-0.006014,Normal 
8/31/12,-0.0024,0.014695769,-0.077126255,0.046010556,0.095503066,0.018061,0.004655,0.018466,0.008136,-0.004891,0.016851,0.009823,0.006312,0.014288,0.007516,-0.002144,Normal 
9/30/12,-0.07,0.03319268,-0.099599313,0.051347501,-0.044366124,0.019208,0.028681,0.009469,0.004348,-0.000258,-0.015519,0.016068,0.003988,0.019889,0.012859,0.019743,Normal 
10/31/12,-0.0496,-0.004258504,0.18245391,-0.030263678,-0.064540623,0.01453,0.002183,0.001881,0.005289,-0.001665,-0.009999,0.001248,0.002933,-0.003503,0.010091,0.003245,Stress
11/30/12,-0.0198,-0.003572398,-0.146774194,-0.003842795,0.030960111,0.006293,0.013469,0.002336,0.003372,0.00397,-0.009546,0.005283,0.000993,0.002089,0.010401,0.007455,Normal 
12/31/12,0.0971,0.026620904,0.13547574,-0.021100006,0.032729727,0.022131,0.031721,0.021963,0.010896,0.003364,-0.00754,0.016962,0.010385,0.021565,0.017134,0.030538,Normal 
1/31/13,0.013,0.049030086,-0.20754717,-0.008478624,0.061751252,0.026638,0.029144,0.020365,0.015805,0.008833,0.005565,0.024821,0.015835,0.040449,0.024667,0.046353,Bull Market 
2/28/13,-0.0622,-0.00524904,0.086134454,-0.049921715,-0.055800595,0.006587,-0.001188,0.000216,0.001612,0.005965,-0.001888,0.00281,0.002555,0.005453,0.006119,0.011355,Normal 
3/31/13,0.0005,0.021011755,-0.181173436,0.010838562,0.056273764,0.017618,0.001632,0.00879,0.00627,0.001693,-0.009184,0.013728,0.007196,0.018658,0.0001,0.029088,Normal 
4/30/13,-0.0099,0.024778164,0.064566929,-0.076874843,-0.038774041,0.018008,0.006124,0.003244,0.003247,-0.006276,-0.002516,0.005383,0.007467,0.000888,-0.000595,0.053762,Normal 
5/31/13,0.0022,-0.002365512,0.205621302,-0.054068741,-0.015942649,0.027005,-0.002803,0.017304,0.00773,0.008164,-0.005958,0.008738,0.015585,0.025099,0.018531,-0.008387,Stress
6/30/13,0.0421,-0.02184482,0.034355828,-0.121212121,0.049907579,-0.016315,-0.04279,-0.015627,-0.002201,-0.000093,0.002101,-0.015248,-0.004548,-0.008265,-0.008831,-0.009765,Stress
7/31/13,-0.0288,0.046710058,-0.202253855,0.072397451,0.087717481,0.017886,0.00493,0.01542,0.0111,-0.004954,0.021623,0.016168,0.007566,0.034803,0.020576,0.014607,Bull Market 
8/31/13,-0.0145,-0.030484481,0.264684015,0.063776288,0.024945254,-0.00077,-0.012826,-0.001295,0.00386,-0.007209,0.009344,-0.006142,0.005227,-0.008751,-0.006414,-0.002133,Normal 
9/30/13,0.0305,0.034495431,-0.024103469,-0.049853162,-0.049419415,0.016579,0.028442,0.019104,0.011949,-0.002782,0.010545,0.020252,0.005764,0.031235,0.019635,0.029984,Normal 
